W,K,beta,delta_s,is_canonical,admissible,boundary,violation,compression_ratio,max_residual_norm_sq
12,2,0.4,0.1,False,14994,5374,176,0.2701518691588785,3510.4484291194285
12,2,0.5,0.02,False,17403,2974,167,0.15289135514018692,3510.4484291194285
12,2,0.5,0.05,False,17415,2960,169,0.1523072429906542,3510.4484291194285
12,2,0.5,0.1,False,17424,2951,169,0.15186915887850466,3510.4484291194285
12,2,0.6,0.02,False,19031,1364,149,0.07364680685358256,3510.4484291194285
12,2,0.6,0.05,False,19039,1356,149,0.07325739875389409,3510.4484291194285
12,2,0.6,0.1,False,19044,1351,149,0.07301401869158879,3510.4484291194285
12,2,0.7,0.02,False,19792,608,144,0.03660436137071651,3510.4484291194285
12,2,0.7,0.05,False,19795,605,144,0.036458333333333336,3510.4484291194285
12,2,0.7,0.1,False,19796,604,144,0.03640965732087227,3510.4484291194285
12,3,0.3,0.02,False,11457,8925,162,0.44231892523364486,3510.4484291194285
12,3,0.3,0.05,False,11545,8838,161,0.43803543613707163,3510.4484291194285
12,3,0.3,0.1,False,11660,8723,161,0.43243769470404986,3510.4484291194285
12,3,0.4,0.02,False,15711,4661,172,0.23525116822429906,3510.4484291194285
12,3,0.4,0.05,False,15739,4633,172,0.2338882398753894,3510.4484291194285
12,3,0.4,0.1,False,15787,4584,173,0.23155179127725856,3510.4484291194285
12,3,0.5,0.02,False,17962,2415,167,0.12568146417445483,3510.4484291194285
12,3,0.5,0.05,False,17983,2393,168,0.12465926791277258,3510.4484291194285
12,3,0.5,0.1,False,17998,2378,168,0.1239291277258567,3510.4484291194285
12,3,0.6,0.02,False,19348,1047,149,0.05821651090342679,3510.4484291194285
12,3,0.6,0.05,False,19357,1038,149,0.05777842679127726,3510.4484291194285
12,3,0.6,0.1,False,19365,1030,149,0.057389018691588786,3510.4484291194285
12,3,0.7,0.02,False,19970,430,144,0.027940031152647975,3510.4484291194285
12,3,0.7,0.05,False,19972,428,144,0.027842679127725856,3510.4484291194285
12,3,0.7,0.1,False,19976,424,144,0.02764797507788162,3510.4484291194285
12,4,0.3,0.02,False,11908,8474,162,0.42036604361370716,3510.4484291194285
12,4,0.3,0.05,False,12011,8372,161,0.4153524143302181,3510.4484291194285
12,4,0.3,0.1,False,12139,8244,161,0.4091218847352025,3510.4484291194285
12,4,0.4,0.02,False,15989,4383,172,0.22171923676012462,3510.4484291194285
12,4,0.4,0.05,False,16019,4353,172,0.22025895638629284,3510.4484291194285
12,4,0.4,0.1,False,16074,4297,173,0.2175817757009346,3510.4484291194285
12,4,0.5,0.02,False,18084,2293,167,0.11974299065420561,3510.4484291194285
12,4,0.5,0.05,False,18105,2271,168,0.11872079439252337,3510.4484291194285
12,4,0.5,0.1,False,18126,2250,168,0.11769859813084112,3510.4484291194285
12,4,0.6,0.02,False,19397,998,149,0.05583138629283489,3510.4484291194285
