query_id,iteration,est_rows,actual_rows,latency_ms,plan_hash
19c,2,14860,1153798,71.102,774febfee11f
19d,2,13,1909379,95.963,71c112ec68f6
1a,2,24425,250,6.966,64c3cb5c5cae
1b,2,24425,10,5.783,782af87ac4ef
1c,2,24425,250,5.623,782af87ac4ef
1d,2,24425,10,5.969,782af87ac4ef
20a,2,680,978322,61.299,9beded19e35e
20b,2,680,294672,45.144,6deca1859ebe
20c,2,680,294672,48.686,9beded19e35e
21a,2,0,1410,11.736,364326e6a674
21b,2,0,1021,10.798,5b8c848f20df
21c,2,0,1874,11.047,364326e6a674
22a,2,4885,324111,37.966,22628c238668
22b,2,4885,324111,28.923,22628c238668
22c,2,0,2610972,79.532,9f9782fac0a5
22d,2,2,5536051,130.497,356d18420a0d
23a,2,14860,1153687,32.678,d493712afad6
23b,2,10503,1771,22.601,a6508a02c259
23c,2,14860,1153687,31.310,eca85b6472b8
24a,2,180,1261206,48.676,63bca30b3ac6
24b,2,0,244,21.350,a67bfab89bc9
25a,2,0,319480,50.499,6e5ce811e2fc
25b,2,0,30413,22.395,7707bacdc7df
25c,2,1260,2224786,84.691,7befa8624ba5
26a,2,134170,134044,44.926,8e7ccb84ddd4
26b,2,4885,15848,26.504,7250ee9d0519
26c,2,24425,459891,56.615,f950b747c0a3
27a,2,0,581,11.499,8791cc3970b6
27b,2,0,342,10.072,d29cb313cca0
27c,2,0,743,10.555,358b489cfd04
28a,2,0,738406,63.078,0e3d76c83dc6
28b,2,4885,194900,35.194,2013ba8fb9ee
28c,2,0,1151351,61.292,0e3d76c83dc6
29a,2,0,4890,32.113,6094e36b7f22
29b,2,0,2445,30.522,6869a92e97ae
29c,2,0,69744,35.770,f9d797e41fe3
2a,2,97,148552,13.259,39f0d0f484d7
2b,2,97,148552,12.502,39f0d0f484d7
2c,2,97,148552,9.833,39f0d0f484d7
2d,2,97,148552,15.358,39f0d0f484d7
30a,2,24425,459891,51.459,2fb1ac092548
30b,2,24425,459891,33.978,2fb1ac092548
30c,2,5,643428,66.795,504d1a3df7d6
31a,2,24425,459917,57.858,803f2f4cc6a9
31b,2,24425,459917,44.164,af6c9af9a4d7
31c,2,727,574510,66.320,fa6c4a99dc35
32a,2,2,0,4.708,fcae748d00ff
32b,2,2,4388,8.425,fcae748d00ff
33a,2,79,1085,10.945,9f38072768ba
33b,2,286,1053,14.087,a222d4411d07
33c,2,79,1505,13.276,5451bf091399
3a,2,14835720,98235,33.889,1c6d8b5e72c9
3b,2,6,920,20.123,458d550a03dc
3c,2,14835720,230761,34.621,1c6d8b5e72c9
4a,2,3264,697651,33.294,78ff902e0195
4b,2,3264,1070,9.451,78ff902e0195
4c,2,3264,2012691,48.006,78ff902e0195
5a,2,14835720,9568203,60.090,57cab5af281c
5b,2,42522,0,23.680,51e96691fc5d
5c,2,122987,105501,28.191,57cab5af281c
6a,2,313,1224,28.808,15b8934625a1
6b,2,134170,134170,15.988,1e2fd2d73ac5
6c,2,313,33,20.348,15b8934625a1
6d,2,134170,134170,27.319,1e2fd2d73ac5
6e,2,313,1224,26.720,15b8934625a1
6f,2,4244265,785477,74.540,ed1105c0e7aa
7a,2,0,3354,16.674,53392dd98fc5
7b,2,1,353,11.599,28991ba0bc98
7c,2,161,1618081,308.247,71bdf14f0ae7
8a,2,31,34848,18.457,4abe9140a8c4
8b,2,31,34848,17.556,5e9e2f722df0
8c,2,6146,2487611,94.698,54331408ea7e
8d,2,14860,1153798,42.410,54331408ea7e
9a,2,2972,542096,45.454,c8c34baefbd9
9b,2,31,222685,32.229,8bcae6a2265a
9c,2,14860,1153798,45.092,ba725b9addca
9d,2,14860,1153798,73.013,ba725b9addca
