t,phi_true,phi_mean,phi_freqonly,phi_dsfb,err_mean,err_freqonly,err_dsfb,w2,s2
2.380000,1.055952,1.178563,1.171525,1.176762,0.122611,0.115573,0.120810,0.506648,0.117018
2.390000,1.059625,1.184225,1.178798,1.183437,0.124599,0.119172,0.123811,0.506091,0.115112
2.400000,1.063296,1.208234,1.194445,1.198880,0.144939,0.131149,0.135584,0.503473,0.118481
2.410000,1.066964,1.215754,1.206042,1.210026,0.148790,0.139077,0.143062,0.501951,0.118760
2.420000,1.070631,1.189954,1.198950,1.203045,0.119322,0.128318,0.132414,0.504708,0.117506
2.430000,1.074298,1.137184,1.169010,1.174281,0.062886,0.094712,0.099983,0.512494,0.114820
2.440000,1.077964,1.192272,1.181552,1.186771,0.114308,0.103588,0.108807,0.510432,0.114737
2.450000,1.081628,1.248882,1.216139,1.220654,0.167254,0.134511,0.139026,0.503399,0.117299
2.460000,1.085289,1.225913,1.221981,1.226278,0.140624,0.136691,0.140988,0.503167,0.119451
2.470000,1.088948,1.228080,1.225989,1.230155,0.139133,0.137042,0.141208,0.503349,0.120611
2.480000,1.092603,1.208051,1.217981,1.222306,0.115448,0.125378,0.129703,0.506239,0.118967
2.490000,1.096257,1.221196,1.220539,1.225362,0.124938,0.124282,0.129104,0.506533,0.121418
2.500000,1.099910,1.244037,1.233239,1.237556,0.144127,0.133330,0.137647,0.504721,0.120114
2.510000,1.103561,1.131546,1.183355,1.188427,0.027985,0.079794,0.084866,0.514997,0.115002
2.520000,1.107210,1.293932,1.239554,1.243944,0.186722,0.132344,0.136733,0.502897,0.120144
2.530000,1.110859,1.225926,1.233705,1.237727,0.115067,0.122846,0.126868,0.505423,0.115905
2.540000,1.114508,1.267008,1.251313,1.255112,0.152500,0.136805,0.140604,0.502362,0.117271
2.550000,1.118159,1.240999,1.247129,1.251268,0.122840,0.128970,0.133109,0.504378,0.118853
2.560000,1.121811,1.198214,1.223638,1.228826,0.076403,0.101827,0.107015,0.510650,0.117601
