step_idx,depth_m,observed_tqa_knm,baseline_tqa_knm,swob_kn,rpm,hkld_kn,sppa_kpa,residual_knm,drift_knm,slew_knm,token,r_norm,delta_norm,sigma_norm
32,1216.00,0.271164,0.271164,20.8177,0.00,1150.2656,243.5918,0.000000,-0.008813,0.000000,Nominal,0.000000,-0.002938,0.000000
33,1216.50,0.271164,0.271164,21.0846,0.00,1150.5325,243.5918,0.000000,-0.008813,0.000000,Nominal,0.000000,-0.002938,0.000000
34,1217.00,0.271164,0.271164,20.9734,0.00,1150.4880,216.6333,0.000000,-0.008813,0.000000,Nominal,0.000000,-0.002938,0.000000
35,1217.50,0.271164,0.271164,21.3959,0.00,1149.7763,216.6333,0.000000,-0.008813,0.000000,Nominal,0.000000,-0.002938,0.000000
36,1218.00,0.271164,0.271164,20.9956,0.00,1150.4436,216.6333,0.000000,-0.007457,0.000000,Nominal,0.000000,-0.002486,0.000000
37,1218.50,0.271164,0.271164,20.5953,0.00,1150.8884,216.6333,0.000000,-0.004745,0.000000,Nominal,0.000000,-0.001582,0.000000
38,1219.00,0.271164,0.271164,22.0632,0.00,1149.2870,243.2470,0.000000,-0.002034,0.000000,Nominal,0.000000,-0.000678,0.000000
39,1219.50,0.271164,0.271164,21.5739,0.00,1149.9543,243.2470,0.000000,0.000000,0.000000,Nominal,0.000000,0.000000,0.000000
40,1220.00,0.271164,0.271164,23.7090,0.00,1150.1322,243.2470,0.000000,0.000000,0.000000,Nominal,0.000000,0.000000,0.000000
41,1220.50,0.271164,0.271164,23.3976,0.00,1148.7310,243.2470,0.000000,0.000000,0.000000,Nominal,0.000000,0.000000,0.000000
42,1221.00,0.257605,0.271164,21.0401,0.00,1150.5770,239.3860,-0.013558,-0.001356,-0.027116,Nominal,-0.001695,-0.000452,-0.001356
43,1221.50,0.244047,0.271164,20.5508,0.00,1150.7994,235.5249,-0.027116,-0.004067,-0.027116,Nominal,-0.003390,-0.001356,-0.001356
44,1222.00,0.244047,0.271164,20.4618,0.00,1150.8439,235.5249,-0.027116,-0.006779,0.000000,Nominal,-0.003390,-0.002260,0.000000
45,1222.50,0.284722,0.271164,23.0418,0.00,1144.8833,235.5249,0.013558,-0.005423,0.081349,Nominal,0.001695,-0.001808,0.004067
46,1223.00,0.284722,0.271164,20.9956,0.00,1148.4863,214.1512,0.013558,-0.004067,0.000000,Nominal,0.001695,-0.001356,0.000000
47,1223.50,0.122024,0.271164,20.1504,0.00,1151.3332,222.8386,-0.149140,-0.018981,-0.325396,Nominal,-0.018642,-0.006327,-0.016270
48,1224.00,0.122024,0.271164,20.9066,0.00,1150.7327,222.8386,-0.149140,-0.033895,0.000000,Nominal,-0.018642,-0.011298,0.000000
49,1224.50,0.122024,0.271164,19.8391,0.00,1150.8439,222.8386,-0.149140,-0.048809,0.000000,Nominal,-0.018642,-0.016270,0.000000
50,1225.00,0.122024,0.271164,20.7287,0.00,1150.6215,222.8386,-0.149140,-0.063723,0.000000,Nominal,-0.018642,-0.021241,0.000000
51,1225.50,0.162698,0.271164,18.4601,0.00,1153.2459,205.4638,-0.108465,-0.074570,0.081349,Nominal,-0.013558,-0.024857,0.004067
52,1226.00,0.162698,0.271164,20.9289,0.00,1150.5548,205.4638,-0.108465,-0.084061,0.000000,Nominal,-0.013558,-0.028020,0.000000
53,1226.50,0.162698,0.271164,20.2394,0.00,1151.2442,205.4638,-0.108465,-0.092196,0.000000,Nominal,-0.013558,-0.030732,0.000000
54,1227.00,0.162698,0.271164,18.6380,0.00,1152.8456,205.4638,-0.108465,-0.100331,0.000000,Nominal,-0.013558,-0.033444,0.000000
55,1227.50,0.162698,0.271164,19.9948,0.00,1151.6891,216.3575,-0.108465,-0.112533,0.000000,Nominal,-0.013558,-0.037511,0.000000
56,1228.00,0.162698,0.271164,20.3284,0.00,1151.0218,216.3575,-0.108465,-0.124735,0.000000,Nominal,-0.013558,-0.041578,0.000000
57,1228.50,0.162698,0.264384,19.2163,0.00,1152.1339,216.3575,-0.101686,-0.119990,0.013558,Nominal,-0.012711,-0.039997,0.000678
58,1229.00,0.162698,0.257605,19.9725,0.00,1152.0449,216.3575,-0.094907,-0.114567,0.013558,Nominal,-0.011863,-0.038189,0.000678
59,1229.50,0.203373,0.257605,19.7723,0.00,1151.6001,218.7706,-0.054233,-0.105076,0.081349,Nominal,-0.006779,-0.035025,0.004067
60,1230.00,0.203373,0.257605,19.4832,0.00,1152.0894,218.7706,-0.054233,-0.095585,0.000000,Nominal,-0.006779,-0.031862,0.000000
61,1230.50,0.203373,0.250826,18.6380,0.00,1152.7121,218.7706,-0.047454,-0.089484,0.013558,Nominal,-0.005932,-0.029828,0.000678
62,1231.00,0.203373,0.244047,18.7048,0.00,1152.8011,218.7706,-0.040675,-0.082705,0.013558,Nominal,-0.005084,-0.027568,0.000678
63,1231.50,0.203373,0.244047,19.1718,0.00,1152.5342,218.7706,-0.040675,-0.075926,0.000000,Nominal,-0.005084,-0.025309,0.000000
64,1232.00,0.162698,0.244047,20.6397,0.00,1151.1553,242.6265,-0.081349,-0.073214,-0.081349,Nominal,-0.010169,-0.024405,-0.004067
65,1232.50,0.162698,0.244047,19.1274,0.00,1152.1784,242.6265,-0.081349,-0.070503,0.000000,Nominal,-0.010169,-0.023501,0.000000
66,1233.00,0.162698,0.244047,20.4173,0.00,1150.9329,242.6265,-0.081349,-0.067791,0.000000,Nominal,-0.010169,-0.022597,0.000000
67,1233.50,0.162698,0.244047,21.5294,0.00,1149.7318,242.6265,-0.081349,-0.065757,0.000000,Nominal,-0.010169,-0.021919,0.000000
68,1234.00,0.230489,0.244047,21.9742,0.00,1150.7549,232.6981,-0.013558,-0.057622,0.135582,Nominal,-0.001695,-0.019207,0.006779
69,1234.50,0.230489,0.244047,21.9075,0.00,1150.1767,232.6981,-0.013558,-0.053555,0.000000,Nominal,-0.001695,-0.017852,0.000000
70,1235.00,0.230489,0.244047,20.1504,0.00,1151.1998,232.6981,-0.013558,-0.049487,0.000000,Nominal,-0.001695,-0.016496,0.000000
71,1235.50,0.230489,0.244047,21.7963,0.00,1150.2656,232.6981,-0.013558,-0.046098,0.000000,Nominal,-0.001695,-0.015366,0.000000
